symbol,date,breakout,regime,outcome,stock_rs,vol_ratio,liquidity,lookback
786,2009-05-11,0,VOLATILE,-6.0,-116.51095881634863,0.42231364770840957,11225.0,20
786,2026-03-11,1,VOLATILE,-6.0,222.23013129336695,2.6028696112518874,266590.7833333333,20
786,2009-04-03,0,VOLATILE,-6.0,-115.08062493898547,0.2676977280689144,20483.333333333332,20
786,2026-03-12,1,VOLATILE,-6.0,251.78582134362566,2.6909236040147033,271362.86666666664,20
786,2019-06-24,0,VOLATILE,-6.0,18.406006466037667,2.200262985039596,119466.66666666667,20
786,2026-03-13,1,VOLATILE,-6.0,291.72293523860225,2.7901192247239206,278680.18333333335,20
786,2018-11-09,0,VOLATILE,25.91876208897485,768.8482217413602,3.669135996496412,194050.0,20
786,2026-03-26,1,VOLATILE,-6.0,307.09625659592496,2.0271642197006488,289900.48333333334,20
786,2007-11-26,0,VOLATILE,154.21245421245425,-12.210579197491619,1.0047297783642097,3800.0,20
786,2026-03-27,1,VOLATILE,-6.0,347.8872440030082,2.0773476169213945,295624.88333333336,20
786,2025-05-05,0,VOLATILE,-6.0,-17.31205475491076,0.8517368169746972,5916.516666666666,20
786,2026-03-30,1,VOLATILE,-6.0,393.9646072782895,2.1264087115351877,299689.45,20
786,2008-05-27,0,VOLATILE,-6.0,28.295502310874305,1.0878549084284095,36691.666666666664,20
AABS,2005-12-14,1,TRENDING_UP,-6.0,-16.726904049389233,0.9773905075790961,4776.666666666667,20
AABS,2025-04-17,0,TRENDING_UP,48.64137931034484,-5.186705025871128,0.9200111983090785,776.0166666666667,20
AABS,2005-12-15,1,TRENDING_UP,-6.0,-16.847648101678338,0.9860360232646744,5170.0,20
AABS,2005-11-18,0,TRENDING_UP,-6.0,-31.61283263845972,0.9040351293981674,4863.333333333333,20
AABS,2005-12-16,1,TRENDING_UP,-6.0,-8.192454587246361,1.0491941245545675,5213.333333333333,20
AABS,2025-03-26,0,TRENDING_UP,53.293421628566996,-6.59106416954284,0.8964003277633453,922.85,20
AABS,2006-06-07,1,VOLATILE,-6.0,4.357034479220173,1.0064048599491038,2196.6666666666665,20
AABS,2025-05-02,0,VOLATILE,40.55953507230707,8.132117355992275,1.1697155932203382,765.55,20
AABS,2006-06-09,1,VOLATILE,-6.0,2.784400689721144,1.0094020289795318,2203.3333333333335,20
AABS,2025-04-29,0,VOLATILE,47.39577512015201,-3.811134430542477,0.9506805950354286,760.5333333333333,20
