sector,symbol,start,end,kind,outcome,horizon,excluded_insufficient_data,raw_pct_move,pct_of_measured_move,height_pct_of_price
MISCELLANEOUS,AKDHL,880,960,descending,whipsaw,20,False,-14.583333333333345,-135.83759812765447,10.735859242467273
MISCELLANEOUS,AKDHL,880,960,descending,whipsaw,30,False,-12.240537240537257,-114.01544081462998,10.735859242467273
MISCELLANEOUS,AKDHL,880,960,descending,whipsaw,60,False,-13.62942612942614,-126.95235492202559,10.735859242467273
MISCELLANEOUS,AKDHL,880,960,descending,whipsaw,90,False,-4.281135531135542,-39.87697150686253,10.735859242467273
MISCELLANEOUS,AKGL,640,720,descending,sequential,10,False,-15.909090909090908,-109.98079261325006,14.465335747338706
MISCELLANEOUS,AKGL,640,720,descending,sequential,20,False,18.181818181818183,125.69233441514294,14.465335747338706
MISCELLANEOUS,AKGL,640,720,descending,sequential,30,False,-9.999999999999996,-69.1307839283286,14.465335747338706
MISCELLANEOUS,AKGL,640,720,descending,sequential,60,False,-18.090909090909093,-125.06387274306722,14.465335747338706
MISCELLANEOUS,AKGL,640,720,descending,sequential,90,False,27.27272727272727,188.53850162271442,14.465335747338706
INSURANCE,ALAC,2720,2800,symmetrical,down,10,False,-1.9999999999999927,-23.936063508536087,8.355592803665282
INSURANCE,ALAC,2720,2800,symmetrical,down,20,False,3.399999999999999,40.69130796451147,8.355592803665282
INSURANCE,ALAC,2720,2800,symmetrical,down,30,False,2.599999999999998,31.116882561096997,8.355592803665282
INSURANCE,ALAC,2720,2800,symmetrical,down,60,False,4.0000000000000036,47.872127017072394,8.355592803665282
INSURANCE,ALAC,2720,2800,symmetrical,down,90,False,3.399999999999999,40.69130796451147,8.355592803665282
POWER GENERATION & DISTRIBUTION,ALTN,2200,2280,descending,whipsaw,10,False,-14.956129114896902,-262.99529761054407,5.686842787981954
POWER GENERATION & DISTRIBUTION,ALTN,2200,2280,descending,whipsaw,20,False,4.566414755988211,80.29788981750029,5.686842787981954
POWER GENERATION & DISTRIBUTION,ALTN,2200,2280,descending,whipsaw,30,False,-2.3904828999615764,-42.035325910774276,5.686842787981954
POWER GENERATION & DISTRIBUTION,ALTN,2200,2280,descending,whipsaw,60,False,5.871333418726781,103.24416618540455,5.686842787981954
POWER GENERATION & DISTRIBUTION,ALTN,2200,2280,descending,whipsaw,90,False,17.39304470347124,305.84711679085075,5.686842787981954
POWER GENERATION & DISTRIBUTION,ALTN,2400,2480,descending,up,10,False,3.088859004861906,62.92589284985055,4.908724954022232
POWER GENERATION & DISTRIBUTION,ALTN,2400,2480,descending,up,20,False,2.5281886831488634,51.50397927831043,4.908724954022232
POWER GENERATION & DISTRIBUTION,ALTN,2400,2480,descending,up,30,False,-4.661218578669698,-94.95782758922505,4.908724954022232
POWER GENERATION & DISTRIBUTION,ALTN,2400,2480,descending,up,60,False,1.1234095376021611,22.885974425632348,4.908724954022232
POWER GENERATION & DISTRIBUTION,ALTN,2400,2480,descending,up,90,False,1.1234095376021611,22.885974425632348,4.908724954022232
POWER GENERATION & DISTRIBUTION,ALTN,2520,2600,descending,down,10,False,15.794479341767676,231.93780719215277,6.809790750794878
POWER GENERATION & DISTRIBUTION,ALTN,2520,2600,descending,down,20,False,15.013713173493768,220.47245977038696,6.809790750794878
POWER GENERATION & DISTRIBUTION,ALTN,2520,2600,descending,down,30,False,17.59709811554455,258.40879344920427,6.809790750794878
POWER GENERATION & DISTRIBUTION,ALTN,2520,2600,descending,down,60,False,18.377864283818457,269.8741408709701,6.809790750794878
POWER GENERATION & DISTRIBUTION,ALTN,2520,2600,descending,down,90,False,0.6016101919844412,8.834488664930237,6.809790750794878
POWER GENERATION & DISTRIBUTION,ALTN,2600,2680,symmetrical,up,10,False,-1.3131889850234986,-35.79850573394852,3.66827876778715
POWER GENERATION & DISTRIBUTION,ALTN,2600,2680,symmetrical,up,20,False,9.899424656330979,269.86565860976543,3.66827876778715
POWER GENERATION & DISTRIBUTION,ALTN,2600,2680,symmetrical,up,30,False,6.803109490974572,185.45781064175983,3.66827876778715
POWER GENERATION & DISTRIBUTION,ALTN,2600,2680,symmetrical,up,60,False,18.652553911019375,508.4824543547798,3.66827876778715
POWER GENERATION & DISTRIBUTION,ALTN,2600,2680,symmetrical,up,90,False,106.60766832096272,2906.2041101438067,3.66827876778715
TEXTILE COMPOSITE,ANL,2360,2440,symmetrical,down,10,False,4.022988505747126,140.49296764708293,2.863480338640747
TEXTILE COMPOSITE,ANL,2360,2440,symmetrical,down,20,False,18.582375478927197,648.9437077031926,2.863480338640747
TEXTILE COMPOSITE,ANL,2360,2440,symmetrical,down,30,False,14.176245210727956,495.07045742305377,2.863480338640747
TEXTILE COMPOSITE,ANL,2360,2440,symmetrical,down,60,False,21.264367816091944,742.605686134581,2.863480338640747
TEXTILE COMPOSITE,ANL,2360,2440,symmetrical,down,90,False,-13.793103448275875,-481.69017478999916,2.863480338640747
TEXTILE COMPOSITE,ANL,3600,3680,symmetrical,down,10,False,12.592592592592602,182.8481907430723,6.886911235718479
TEXTILE COMPOSITE,ANL,3600,3680,symmetrical,down,20,False,30.534979423868318,443.37698539659993,6.886911235718479
TEXTILE COMPOSITE,ANL,3600,3680,symmetrical,down,30,False,27.572016460905346,400.35388169234756,6.886911235718479
TEXTILE COMPOSITE,ANL,3600,3680,symmetrical,down,60,False,17.36625514403293,252.16319115547873,6.886911235718479
